No,Timestamp,PM2.5 raw,PM2.5 density,PM10 density,Air quality level,Temperature,Humidity,Pressure,Altitude estimate,Device ID
1,2025-12-05 22:00:00,31.9,46.0,70.2,BAIK,26.7,73.9,940.1,624.6,10:B4:1D:E8:2E:E4
2,2025-12-05 22:00:30,5.8,7.8,9.8,BAIK,27.7,72.1,940.7,624.4,10:B4:1D:E8:2E:E4
3,2025-12-05 22:01:00,38.4,55.2,83.4,SEDANG,26.9,69.3,940.8,625.1,10:B4:1D:E8:2E:E4
4,2025-12-05 22:01:30,5.4,7.8,11.8,BAIK,27.1,75.1,940.7,624.9,10:B4:1D:E8:2E:E4
5,2025-12-05 22:02:00,15.5,19.1,24.3,BAIK,26.5,74.2,940.6,623.8,10:B4:1D:E8:2E:E4
6,2025-12-05 22:02:30,20.4,24.8,36.4,BAIK,26.2,77.0,940.7,624.1,10:B4:1D:E8:2E:E4
7,2025-12-05 22:03:00,23.5,32.8,50.8,BAIK,27.2,75.2,940.5,625.9,10:B4:1D:E8:2E:E4
8,2025-12-05 22:03:30,3.2,4.9,6.0,BAIK,27.3,75.6,940.3,625.8,10:B4:1D:E8:2E:E4
9,2025-12-05 22:04:00,13.6,15.2,22.9,BAIK,26.9,73.6,940.2,624.1,10:B4:1D:E8:2E:E4
10,2025-12-05 22:04:30,6.1,7.1,8.7,BAIK,27.8,75.0,940.8,624.9,10:B4:1D:E8:2E:E4
11,2025-12-05 22:05:00,11.2,16.7,22.6,BAIK,26.4,69.9,940.6,624.5,10:B4:1D:E8:2E:E4
12,2025-12-05 22:05:30,1.7,1.5,2.1,BAIK,27.6,76.0,940.4,624.6,10:B4:1D:E8:2E:E4
13,2025-12-05 22:06:00,2.9,4.2,5.3,BAIK,26.2,76.3,940.6,624.4,10:B4:1D:E8:2E:E4
14,2025-12-05 22:06:30,7.0,9.2,14.0,BAIK,27.7,71.8,940.6,624.9,10:B4:1D:E8:2E:E4
15,2025-12-05 22:07:00,13.3,15.6,20.4,BAIK,27.8,76.1,940.6,625.0,10:B4:1D:E8:2E:E4
16,2025-12-05 22:07:30,4.5,6.0,7.7,BAIK,26.6,76.4,940.1,624.1,10:B4:1D:E8:2E:E4
17,2025-12-05 22:08:00,3.3,4.7,6.7,BAIK,27.5,72.9,940.6,625.1,10:B4:1D:E8:2E:E4
18,2025-12-05 22:08:30,2.9,4.4,6.2,BAIK,27.0,74.1,940.4,624.3,10:B4:1D:E8:2E:E4
19,2025-12-05 22:09:00,20.9,27.2,35.4,BAIK,26.5,75.7,940.3,623.9,10:B4:1D:E8:2E:E4
20,2025-12-05 22:09:30,9.7,13.9,19.5,BAIK,26.9,71.6,940.7,624.7,10:B4:1D:E8:2E:E4
21,2025-12-05 22:10:00,1.1,3.1,4.1,BAIK,28.3,76.1,940.5,624.8,10:B4:1D:E8:2E:E4
22,2025-12-05 22:10:30,3.0,4.2,6.6,BAIK,27.3,75.1,940.5,624.6,10:B4:1D:E8:2E:E4
23,2025-12-05 22:11:00,6.0,8.0,12.1,BAIK,26.8,75.0,940.6,624.5,10:B4:1D:E8:2E:E4
24,2025-12-05 22:11:30,5.3,5.5,6.6,BAIK,28.1,70.8,940.3,624.3,10:B4:1D:E8:2E:E4
25,2025-12-05 22:12:00,26.4,33.2,42.2,BAIK,28.3,73.5,940.3,623.5,10:B4:1D:E8:2E:E4
26,2025-12-05 22:12:30,5.6,8.3,11.7,BAIK,27.1,73.7,940.7,623.6,10:B4:1D:E8:2E:E4
27,2025-12-05 22:13:00,3.7,5.6,8.2,BAIK,26.6,74.6,940.9,624.7,10:B4:1D:E8:2E:E4
28,2025-12-05 22:13:30,16.8,22.3,35.0,BAIK,26.8,72.8,940.6,624.7,10:B4:1D:E8:2E:E4
29,2025-12-05 22:14:00,11.1,12.7,17.5,BAIK,27.1,74.4,940.7,624.4,10:B4:1D:E8:2E:E4
30,2025-12-05 22:14:30,3.1,4.2,6.4,BAIK,26.7,73.2,940.7,623.5,10:B4:1D:E8:2E:E4
31,2025-12-05 22:15:00,92.7,111.0,137.1,TIDAK SEHAT,26.7,73.8,940.1,625.1,10:B4:1D:E8:2E:E4
32,2025-12-05 22:15:30,4.6,5.9,8.1,BAIK,27.2,71.2,940.6,624.7,10:B4:1D:E8:2E:E4
33,2025-12-05 22:16:00,86.8,98.5,126.5,SEDANG,27.1,73.7,940.6,624.8,10:B4:1D:E8:2E:E4
34,2025-12-05 22:16:30,25.4,37.2,44.7,BAIK,27.2,73.6,940.4,624.6,10:B4:1D:E8:2E:E4
35,2025-12-05 22:17:00,12.1,16.7,26.0,BAIK,27.6,78.2,940.7,624.7,10:B4:1D:E8:2E:E4
36,2025-12-05 22:17:30,3.1,4.5,5.6,BAIK,26.7,74.9,940.5,624.6,10:B4:1D:E8:2E:E4
37,2025-12-05 22:18:00,14.8,18.8,27.2,BAIK,26.9,72.9,940.6,624.1,10:B4:1D:E8:2E:E4
38,2025-12-05 22:18:30,9.0,13.1,20.4,BAIK,27.3,76.8,940.6,624.6,10:B4:1D:E8:2E:E4
39,2025-12-05 22:19:00,3.6,5.2,8.1,BAIK,27.8,76.5,940.6,625.4,10:B4:1D:E8:2E:E4
40,2025-12-05 22:19:30,49.1,59.3,71.5,SEDANG,27.6,74.0,940.8,624.6,10:B4:1D:E8:2E:E4
41,2025-12-05 22:20:00,38.4,44.2,63.9,BAIK,27.0,73.3,940.4,624.4,10:B4:1D:E8:2E:E4
42,2025-12-05 22:20:30,1.6,2.4,3.5,BAIK,28.5,72.4,940.4,624.1,10:B4:1D:E8:2E:E4
43,2025-12-05 22:21:00,10.3,15.9,23.6,BAIK,27.8,74.1,940.5,624.1,10:B4:1D:E8:2E:E4
44,2025-12-05 22:21:30,3.5,4.9,7.3,BAIK,27.8,73.0,940.2,624.6,10:B4:1D:E8:2E:E4
45,2025-12-05 22:22:00,47.0,58.7,88.7,SEDANG,28.3,77.8,940.7,623.3,10:B4:1D:E8:2E:E4
46,2025-12-05 22:22:30,9.9,13.1,16.8,BAIK,27.3,76.5,940.7,624.3,10:B4:1D:E8:2E:E4
47,2025-12-05 22:23:00,3.8,4.5,7.1,BAIK,27.9,73.9,940.3,625.2,10:B4:1D:E8:2E:E4
